Year,Round,Team,Player,Score,Opposition,Venue
2014,1,MEL,Jack Watts,86,STK,Etihad
2014,1,ESS,Kyle Hardingham,86,NM,Etihad
2014,1,ESS,Mark Baguley,85,NM,Etihad
2014,1,MEL,Daniel Cross,85,STK,Etihad
2014,1,MEL,Jack Trengove,85,STK,Etihad
2014,1,HAW,Matthew Suckling,85,BL,Launceston
2014,1,GEE,Josh Caddy,85,ADE,Simonds
2014,1,PA,Jared Polec,85,CAR,Etihad
2014,1,GWS,Toby Greene,85,SYD,Spotless
2014,1,GEE,Mitch Duncan,85,ADE,Simonds
2014,1,STK,Tom Hickey,85,MEL,Etihad
2014,1,HAW,David Hale,85,BL,Launceston
2014,1,GWS,Heath Shaw,84,SYD,Spotless
2014,1,FRE,Matthew Pavlich,84,COL,Etihad
2014,1,CAR,Kade Simpson,84,PA,Etihad
2014,1,COL,Heritier Lumumba,84,FRE,Etihad
2014,1,BL,Jonathan Brown,84,HAW,Launceston
2014,1,COL,Steele Sidebottom,84,FRE,Etihad
2014,1,SYD,Mike Pyke,84,GWS,Spotless
2014,1,WCE,Elliot Yeo,84,WB,Domain
2014,1,STK,Jack Newnes,84,MEL,Etihad
2014,1,WB,Tom Liberatore,84,WCE,Domain
2014,1,WB,Stewart Crameri,83,WCE,Domain
2014,1,PA,Matthew Lobbe,83,CAR,Etihad
2014,1,BL,Sam Mayes,83,HAW,Launceston
2014,1,SYD,Jarrad McVeigh,83,GWS,Spotless
2014,1,HAW,Bradley Hill,83,BL,Launceston
2014,1,SYD,Josh P. Kennedy,83,GWS,Spotless
2014,1,ADE,Luke Brown,82,GEE,Simonds
2014,1,PA,Robbie Gray,82,CAR,Etihad
2014,1,RIC,Shaun Hampson,82,GCS,Metricon
2014,1,WB,Liam Picken,82,WCE,Domain
2014,1,ADE,Mitch Grigg,82,GEE,Simonds
2014,1,RIC,Ricky Petterd,81,GCS,Metricon
2014,1,NM,Leigh Adams,81,ESS,Etihad
2014,1,MEL,Lynden Dunn,80,STK,Etihad
2014,1,BL,Trent West,80,HAW,Launceston
2014,1,GWS,Nick Haynes,80,SYD,Spotless
2014,1,PA,Hamish Hartlett,80,CAR,Etihad
2014,1,MEL,Jack Grimes,80,STK,Etihad
2014,1,GWS,Tom Scully,79,SYD,Spotless
2014,1,GEE,Cameron Guthrie,79,ADE,Simonds
2014,1,PA,Travis Boak,79,CAR,Etihad
2014,1,BL,Pearce Hanley,79,HAW,Launceston
2014,1,FRE,Michael Walters,79,COL,Etihad
2014,1,WCE,Sharrod Wellingham,79,WB,Domain
2014,1,NM,Ben Cunnington,78,ESS,Etihad
2014,1,GWS,Lachie Whitfield,78,SYD,Spotless
2014,1,WB,Shaun Higgins,78,WCE,Domain
2014,1,ESS,Patrick Ryder,77,NM,Etihad
2014,1,MEL,James Frawley,77,STK,Etihad
2014,1,COL,Clinton Young,76,FRE,Etihad
2014,1,PA,Matt White,76,CAR,Etihad
2014,1,FRE,Stephen Hill,76,COL,Etihad
2014,1,HAW,Jonathan Simpkin,75,BL,Launceston
2014,1,ADE,Eddie Betts,75,GEE,Simonds
2014,1,SYD,Craig Bird,75,GWS,Spotless
2014,1,GEE,Tom Lonergan,74,ADE,Simonds
2014,1,GEE,Mitch Brown,74,ADE,Simonds
2014,1,NM,Nick Dal Santo,74,ESS,Etihad
2014,1,NM,Jamie Macmillan,74,ESS,Etihad
2014,1,FRE,Cameron Sutcliffe,74,COL,Etihad
2014,1,RIC,Ben Griffiths,73,GCS,Metricon
2014,1,GWS,Jonathon Patton,73,SYD,Spotless
2014,1,GEE,Travis Varcoe,73,ADE,Simonds
2014,1,SYD,Nick Malceski,73,GWS,Spotless
2014,1,RIC,Bachar Houli,73,GCS,Metricon
2014,1,ESS,Joe Daniher,72,NM,Etihad
2014,1,STK,Tom Curren,72,MEL,Etihad
2014,1,HAW,Taylor Duryea,72,BL,Launceston
2014,1,RIC,Nick Vlastuin,72,GCS,Metricon
2014,1,ESS,Jake Carlisle,71,NM,Etihad
2014,1,BL,Matthew Leuenberger,71,HAW,Launceston
2014,1,STK,Dylan Roberton,71,MEL,Etihad
2014,1,MEL,Matt Jones,70,STK,Etihad
2014,1,PA,John Butcher,70,CAR,Etihad
2014,1,SYD,Ben McGlynn,70,GWS,Spotless
2014,1,WCE,Callum Sinclair,70,WB,Domain
2014,1,GWS,Adam Kennedy,70,SYD,Spotless
2014,1,RIC,Chris Newman,70,GCS,Metricon
2014,1,GWS,Tomas Bugg,70,SYD,Spotless
2014,1,RIC,Ty Vickery,70,GCS,Metricon
2014,1,HAW,Will Langford,70,BL,Launceston
2014,1,GCS,Brandon Matera,70,RIC,Metricon
2014,1,CAR,Mitch Robinson,69,PA,Etihad
2014,1,SYD,Harry Cunningham,69,GWS,Spotless
2014,1,COL,Ben Sinclair,69,FRE,Etihad
2014,1,HAW,Sam Mitchell,68,BL,Launceston
2014,1,WCE,Darren Glass,68,WB,Domain
2014,1,ADE,Patrick Dangerfield,68,GEE,Simonds
2014,1,ESS,Dustin Fletcher,68,NM,Etihad
2014,1,GEE,Jordan Murdoch,68,ADE,Simonds
2014,1,WCE,Shannon Hurn,67,WB,Domain
2014,1,WCE,Chris Masten,67,WB,Domain
2014,1,FRE,Ryan Crowley,67,COL,Etihad
2014,1,GCS,Steven May,66,RIC,Metricon
2014,1,FRE,Lee Spurr,66,COL,Etihad
2014,1,NM,Scott D Thompson,66,ESS,Etihad
2014,1,WCE,Jamie Cripps,66,WB,Domain
2014,1,BL,James Aish,66,HAW,Launceston
2014,1,MEL,Jimmy Toumpas,66,STK,Etihad
2014,1,GCS,Danny Stanley,66,RIC,Metricon
2014,1,SYD,Dan Hannebery,66,GWS,Spotless
2014,1,CAR,Dale Thomas,65,PA,Etihad
2014,1,RIC,Shane Edwards,65,GCS,Metricon
2014,1,MEL,Viv Michie,65,STK,Etihad
2014,1,BL,Mitch Golby,64,HAW,Launceston
2014,1,HAW,Paul Puopolo,64,BL,Launceston
2014,1,FRE,Nat Fyfe,64,COL,Etihad
2014,1,SYD,Nick Smith,63,GWS,Spotless
2014,1,BL,Daniel Rich,63,HAW,Launceston
2014,1,NM,Ryan Bastinac,62,ESS,Etihad
2014,1,CAR,Andrew Walker,62,PA,Etihad
2014,1,ADE,Brodie Smith,62,GEE,Simonds
2014,1,PA,Jasper Pittard,62,CAR,Etihad
2014,1,MEL,Shannon Byrnes,62,STK,Etihad
2014,1,GWS,Sam Frost,62,SYD,Spotless
2014,1,GCS,Sam Day,62,RIC,Metricon
2014,1,BL,Marco Paparone,62,HAW,Launceston
2014,1,CAR,Tom Bell,62,PA,Etihad
2014,1,BL,Brent Moloney,62,HAW,Launceston
2014,1,PA,Jack Hombsch,62,CAR,Etihad
2014,1,NM,Todd Goldstein,62,ESS,Etihad
2014,1,GEE,Hamish McIntosh,61,ADE,Simonds
2014,1,NM,Shaun Atley,61,ESS,Etihad
2014,1,STK,David Armitage,61,MEL,Etihad
2014,1,FRE,Paul Duffield,61,COL,Etihad
2014,1,RIC,Alex Rance,61,GCS,Metricon
2014,1,WB,Brett Goodes,61,WCE,Domain
2014,1,GCS,Matt Shaw,61,RIC,Metricon
2014,1,WCE,Luke Shuey,60,WB,Domain
2014,1,MEL,Cameron Pedersen,60,STK,Etihad
2014,1,CAR,Chris Yarran,60,PA,Etihad
2014,1,GCS,Tom J Lynch,60,RIC,Metricon
2014,1,CAR,Andrejs Everitt,59,PA,Etihad
2014,1,GWS,Devon Smith,59,SYD,Spotless
2014,1,CAR,Matthew Kreuzer,59,PA,Etihad
2014,1,STK,Luke Delaney,59,MEL,Etihad
2014,1,ADE,Lewis Johnston,59,GEE,Simonds
2014,1,GEE,Harry Taylor,59,ADE,Simonds
2014,1,SYD,Lewis Jetta,59,GWS,Spotless
2014,1,BL,Jed Adcock,59,HAW,Launceston
2014,1,NM,Sam Gibson,59,ESS,Etihad
2014,1,WB,Mitch Wallis,59,WCE,Domain
2014,1,NM,Brad McKenzie,58,ESS,Etihad
2014,1,CAR,Jarrad Waite,58,PA,JI
2014,1,SYD,Heath Grundy,58,GWS,Spotless
2014,1,RIC,David Astbury,58,GCS,Metricon
2014,1,CAR,Brock McLean,58,PA,Etihad
2014,1,COL,Taylor Adams,58,FRE,Etihad
2014,1,ADE,Scott Thompson,57,GEE,Simonds
2014,1,ESS,Patrick Ambrose,57,NM,Etihad
2014,1,ADE,David Mackay,57,GEE,Simonds
2014,1,STK,Jarryn Geary,56,MEL,Etihad
2014,1,SYD,Ted Richards,56,GWS,Spotless
2014,1,FRE,Hayden Ballantyne,56,COL,Etihad
2014,1,STK,Sam Gilbert,56,MEL,Etihad
2014,1,WCE,Xavier Ellis,56,WB,Domain
2014,1,GWS,Jeremy Cameron,56,SYD,Spotless
2014,1,ADE,Shaun McKernan,56,GEE,Simonds
2014,1,FRE,Chris Mayne,55,COL,Etihad
2014,1,ESS,Martin Gleeson,55,NM,Etihad
2014,1,SYD,Jeremy Laidler,55,GWS,Spotless
2014,1,COL,Jarrod Witts,54,FRE,Etihad
2014,1,SYD,Dane Rampe,54,GWS,Spotless
2014,1,MEL,Alexis Georgiou,54,STK,Etihad
2014,1,MEL,Dean Terlich,54,STK,Etihad
2014,1,COL,Jamie Elliott,54,FRE,Etihad
2014,1,COL,Nick Maxwell,54,FRE,Etihad
2014,1,WB,Will Minson,54,WCE,Domain
2014,1,COL,Jack Frost,53,FRE,Etihad
2014,1,ESS,Heath Hocking,53,NM,Etihad
2014,1,PA,Jarman Impey,53,CAR,Etihad
2014,1,NM,Luke McDonald,53,ESS,Etihad
2014,1,GEE,Taylor Hunt,52,ADE,Simonds
2014,1,SYD,Lance Franklin,52,GWS,Spotless
2014,1,WCE,Nic Naitanui,51,WB,Domain
2014,1,GCS,Aaron Hall,50,RIC,Metricon
2014,1,RIC,Brandon Ellis,50,GCS,Metricon
2014,1,SYD,Gary Rohan,50,GWS,Spotless
2014,1,RIC,Jack Riewoldt,50,GCS,Metricon
2014,1,ADE,Brad Crouch,50,GEE,Simonds
2014,1,PA,Jackson Trengove,49,CAR,Etihad
2014,1,GWS,Curtly Hampton,49,SYD,Spotless
2014,1,GWS,Dylan Addison,49,SYD,Spotless
2014,1,GCS,Tom Nicholls,49,RIC,Metricon
2014,1,STK,Jimmy Webster,49,MEL,Etihad
2014,1,GCS,Trent McKenzie,49,RIC,Metricon
2014,1,STK,Rhys Stanley,49,MEL,Etihad
2014,1,WB,Daniel Giansiracusa,48,WCE,Domain
2014,1,GEE,Jared Rivers,48,ADE,Simonds
2014,1,CAR,Michael Jamison,48,PA,Etihad
2014,1,RIC,Troy Chaplin,48,GCS,Metricon
2014,1,WCE,Josh J Kennedy,48,WB,Domain
2014,1,GCS,Timmy Sumner,47,RIC,Metricon
2014,1,FRE,Luke McPharlin,46,COL,Etihad
