year,round,player,prev rd score,three rd av,five rd av,season av,prev against opp,prev at venue,three rd av team for,three rd av opp against,last team opp,last team venue,score
2014,1,Toby Greene,,,,,,,,,,,85
2014,1,Mitch Duncan,,,,,,,,,,,85
2014,1,Tom Hickey,,,,,,,,,,,85
2014,1,David Hale,,,,,,,,,,,85
2014,1,Heath Shaw,,,,,,,,,,,84
2014,1,Matthew Pavlich,,,,,,,,,,,84
2014,1,Kade Simpson,,,,,,,,,,,84
2014,1,Heritier Lumumba,,,,,,,,,,,84
2014,1,Jonathan Brown,,,,,,,,,,,84
2014,1,Steele Sidebottom,,,,,,,,,,,84
2014,1,Mike Pyke,,,,,,,,,,,84
2014,1,Elliot Yeo,,,,,,,,,,,84
2014,1,Jack Newnes,,,,,,,,,,,84
2014,1,Tom Liberatore,,,,,,,,,,,84
2014,1,Stewart Crameri,,,,,,,,,,,83
2014,1,Matthew Lobbe,,,,,,,,,,,83
2014,1,Sam Mayes,,,,,,,,,,,83
2014,1,Jarrad McVeigh,,,,,,,,,,,83
2014,1,Bradley Hill,,,,,,,,,,,83
2014,1,Josh P. Kennedy,,,,,,,,,,,83
2014,1,Luke Brown,,,,,,,,,,,82
2014,1,Robbie Gray,,,,,,,,,,,82
2014,1,Shaun Hampson,,,,,,,,,,,82
2014,1,Liam Picken,,,,,,,,,,,82
2014,1,Mitch Grigg,,,,,,,,,,,82
2014,1,Ricky Petterd,,,,,,,,,,,81
2014,1,Leigh Adams,,,,,,,,,,,81
2014,1,Lynden Dunn,,,,,,,,,,,80
2014,1,Trent West,,,,,,,,,,,80
2014,1,Nick Haynes,,,,,,,,,,,80
2014,1,Hamish Hartlett,,,,,,,,,,,80
2014,1,Jack Grimes,,,,,,,,,,,80
2014,1,Tom Scully,,,,,,,,,,,79
2014,1,Cameron Guthrie,,,,,,,,,,,79
2014,1,Travis Boak,,,,,,,,,,,79
2014,1,Pearce Hanley,,,,,,,,,,,79
2014,1,Michael Walters,,,,,,,,,,,79
2014,1,Sharrod Wellingham,,,,,,,,,,,79
2014,1,Ben Cunnington,,,,,,,,,,,78
2014,1,Lachie Whitfield,,,,,,,,,,,78
2014,1,Shaun Higgins,,,,,,,,,,,78
2014,1,Patrick Ryder,,,,,,,,,,,77
2014,1,James Frawley,,,,,,,,,,,77
2014,1,Clinton Young,,,,,,,,,,,76
2014,1,Matt White,,,,,,,,,,,76
2014,1,Stephen Hill,,,,,,,,,,,76
2014,1,Jonathan Simpkin,,,,,,,,,,,75
2014,1,Eddie Betts,,,,,,,,,,,75
2014,1,Craig Bird,,,,,,,,,,,75
2014,1,Tom Lonergan,,,,,,,,,,,74
2014,1,Mitch Brown,,,,,,,,,,,74
2014,1,Nick Dal Santo,,,,,,,,,,,74
2014,1,Jamie Macmillan,,,,,,,,,,,74
2014,1,Cameron Sutcliffe,,,,,,,,,,,74
2014,1,Ben Griffiths,,,,,,,,,,,73
2014,1,Jonathon Patton,,,,,,,,,,,73
2014,1,Travis Varcoe,,,,,,,,,,,73
